NaiveTimes,StrassenTimes,AlphaTensor,log2,log4
0.0,0.0,0.0,2,1
0.093749,0.078129,0.09374,2,2
0.015623,0.015624,0.015625,3,1
0.79684,0.531248,0.500003,3,2
0.093748,0.078127,0.078162,4,1
6.21875,3.859375,3.546875,4,2
0.765622,0.546878,0.531249,5,1
51.062498,26.859377,24.8125,5,2
6.2656600000000005,3.828086,3.703128,6,1
410.45327,186.968752,173.265625,6,2
51.109375,26.890625,25.90625,7,1
3302.119273,1318.953345,1214.359384,7,2
412.124998,188.328127,184.187498,8,1
29386.505206,9250.547325,8536.80372,8,2
