NaiveTimes,StrassenTimes,AlphaTensor,log2,log445
0.0,0.0,0.015624,2,1
0.359376,0.296869,0.343755,2,2
0.046875,0.031249,0.015624,3,1
2.921875,2.17188,1.6718760000000001,3,2
0.265592,0.234408,0.1875,4,1
22.14062,14.984379,12.359375,4,2
2.21875,1.718745,1.343751,5,1
179.29686,104.718721,84.01567,5,2
17.656227,12.203132,9.562491,6,1
1190.203157,605.28125,495.234364,6,2
118.390651,69.078103,54.687493,7,1
9542.882655,4225.281764,3382.901787,7,2
949.98455,483.53125,382.328092,8,1
76646.777767,29616.695775,23741.156063,8,2
