NaiveTimes,StrassenTimes,Kauers&Moosbauer,log2,log445
0.0,0.0,0.015674,2,1
0.187466,0.171911,0.156192,2,2
0.015624,0.015625,0.015627,3,1
1.5,1.171873,0.828126,3,2
0.156218,0.125033,0.093751,4,1
12.015589,8.687535,5.843749,4,2
1.20316,0.921876,0.671875,5,1
97.562502,57.156288,40.437461,5,2
9.640592999999999,6.546907,4.6874649999999995,6,1
786.734374,400.687497,282.703094,6,2
78.156248,45.796842,32.953158,7,1
6357.625178,2825.939084,1983.73481,7,2
635.124999,321.968785,231.656244,8,1
51088.291573,19702.871744,14113.125344,8,2
