NaiveTimes,StrassenTimes,Kauers&Moosbauer,log2,log5
0.0,0.0,0.015622,2,1
0.593787,0.468749,0.703125,2,2
0.031214,0.03125,0.046874,3,1
4.859377,3.281251,3.375,3,2
0.31246,0.234414,0.249997,4,1
38.99996,23.078164,24.296876,4,2
2.46875,1.71875,1.7187510000000001,5,1
316.468745,161.062502,168.375002,5,2
19.968749,11.859374,12.125001,6,1
2529.031479,1129.406247,1176.578129,6,2
160.390663,82.937449,84.609389,7,1
20304.217947,7893.484372,8293.489873,7,2
1295.562491,580.296873,593.390638,8,1
166627.176562,55330.468748,58209.747109,8,2
